File Size,Block Size,Speed,Encryption,Operation,Trial
524288,256,13175787.0,LUKS,read,3
524288,512,11974915.0,LUKS,read,3
524288,1024,9420853.0,LUKS,read,3
524288,2048,9270567.0,LUKS,read,3
524288,4096,8268720.0,LUKS,read,3
524288,8192,7001702.0,LUKS,read,3
524288,16384,7003129.0,LUKS,read,3
1048576,64,254299.0,LUKS,read,3
1048576,128,253701.0,LUKS,read,3
1048576,256,316293.0,LUKS,read,3
1048576,512,457364.0,LUKS,read,3
1048576,1024,642201.0,LUKS,read,3
1048576,2048,680756.0,LUKS,read,3
1048576,4096,707190.0,LUKS,read,3
1048576,8192,715354.0,LUKS,read,3
1048576,16384,740223.0,LUKS,read,3
64,4,460591.0,LUKS,write,1
64,8,1101022.0,LUKS,write,1
64,16,983980.0,LUKS,write,1
64,32,541412.0,LUKS,write,1
64,64,557144.0,LUKS,write,1
128,4,744820.0,LUKS,write,1
128,8,1440082.0,LUKS,write,1
128,16,1802755.0,LUKS,write,1
128,32,1543594.0,LUKS,write,1
128,64,1165070.0,LUKS,write,1
128,128,2132084.0,LUKS,write,1
256,4,1487577.0,LUKS,write,1
256,8,1952947.0,LUKS,write,1
256,16,2533571.0,LUKS,write,1
256,32,2639446.0,LUKS,write,1
256,64,2872459.0,LUKS,write,1
256,128,1718521.0,LUKS,write,1
256,256,2665657.0,LUKS,write,1
512,4,1542947.0,LUKS,write,1
512,8,2246778.0,LUKS,write,1
512,16,2381315.0,LUKS,write,1
512,32,2926501.0,LUKS,write,1
512,64,2891043.0,LUKS,write,1
512,128,3366987.0,LUKS,write,1
512,256,3012719.0,LUKS,write,1
512,512,3122224.0,LUKS,write,1
1024,4,1799462.0,LUKS,write,1
1024,8,2182617.0,LUKS,write,1
1024,16,2968586.0,LUKS,write,1
1024,32,2753527.0,LUKS,write,1
1024,64,3358576.0,LUKS,write,1
1024,128,3495237.0,LUKS,write,1
1024,256,3579719.0,LUKS,write,1
1024,512,2852271.0,LUKS,write,1
1024,1024,2592318.0,LUKS,write,1
2048,4,1929972.0,LUKS,write,1
2048,8,2519185.0,LUKS,write,1
2048,16,3089009.0,LUKS,write,1
2048,32,3006831.0,LUKS,write,1
2048,64,3126106.0,LUKS,write,1
2048,128,2311728.0,LUKS,write,1
2048,256,3841986.0,LUKS,write,1
2048,512,3476572.0,LUKS,write,1
2048,1024,3224685.0,LUKS,write,1
2048,2048,2083011.0,LUKS,write,1
4096,4,1876390.0,LUKS,write,1
4096,8,2627371.0,LUKS,write,1
4096,16,3052133.0,LUKS,write,1
4096,32,3413576.0,LUKS,write,1
4096,64,3421735.0,LUKS,write,1
4096,128,3871253.0,LUKS,write,1
4096,256,3316701.0,LUKS,write,1
4096,512,3736536.0,LUKS,write,1
4096,1024,3676563.0,LUKS,write,1
4096,2048,3740604.0,LUKS,write,1
4096,4096,1747554.0,LUKS,write,1
8192,4,1669422.0,LUKS,write,1
8192,8,2700853.0,LUKS,write,1
8192,16,3231483.0,LUKS,write,1
8192,32,3571028.0,LUKS,write,1
8192,64,3855097.0,LUKS,write,1
8192,128,3322090.0,LUKS,write,1
8192,256,3722290.0,LUKS,write,1
8192,512,3011685.0,LUKS,write,1
8192,1024,3797996.0,LUKS,write,1
8192,2048,3019626.0,LUKS,write,1
8192,4096,3262473.0,LUKS,write,1
8192,8192,1897195.0,LUKS,write,1
16384,4,1607856.0,LUKS,write,1
16384,8,2368346.0,LUKS,write,1
16384,16,2238287.0,LUKS,write,1
16384,32,3541728.0,LUKS,write,1
16384,64,1266349.0,LUKS,write,1
16384,128,3332692.0,LUKS,write,1
16384,256,3568766.0,LUKS,write,1
16384,512,1311470.0,LUKS,write,1
16384,1024,3557865.0,LUKS,write,1
16384,2048,1887596.0,LUKS,write,1
16384,4096,3206873.0,LUKS,write,1
16384,8192,919941.0,LUKS,write,1
16384,16384,2393255.0,LUKS,write,1
32768,64,3470434.0,LUKS,write,1
32768,128,4026476.0,LUKS,write,1
32768,256,3909757.0,LUKS,write,1
32768,512,3683919.0,LUKS,write,1
32768,1024,1600233.0,LUKS,write,1
32768,2048,3837489.0,LUKS,write,1
32768,4096,2202448.0,LUKS,write,1
32768,8192,3113366.0,LUKS,write,1
32768,16384,2510217.0,LUKS,write,1
65536,64,2098964.0,LUKS,write,1
65536,128,3074772.0,LUKS,write,1
65536,256,3760566.0,LUKS,write,1
65536,512,3416168.0,LUKS,write,1
65536,1024,2002741.0,LUKS,write,1
65536,2048,2320843.0,LUKS,write,1
65536,4096,1954259.0,LUKS,write,1
65536,8192,1855755.0,LUKS,write,1
65536,16384,1829241.0,LUKS,write,1
131072,64,2224229.0,LUKS,write,1
131072,128,1682956.0,LUKS,write,1
131072,256,2128239.0,LUKS,write,1
131072,512,1978472.0,LUKS,write,1
131072,1024,2413360.0,LUKS,write,1
131072,2048,2336892.0,LUKS,write,1
131072,4096,2315757.0,LUKS,write,1
131072,8192,1777799.0,LUKS,write,1
131072,16384,1399472.0,LUKS,write,1
262144,64,1134739.0,LUKS,write,1
262144,128,1169039.0,LUKS,write,1
262144,256,1080841.0,LUKS,write,1
262144,512,171680.0,LUKS,write,1
262144,1024,263497.0,LUKS,write,1
262144,2048,880972.0,LUKS,write,1
262144,4096,890292.0,LUKS,write,1
262144,8192,1163516.0,LUKS,write,1
262144,16384,1055300.0,LUKS,write,1
524288,64,39998.0,LUKS,write,1
524288,128,149971.0,LUKS,write,1
524288,256,828893.0,LUKS,write,1
524288,512,838111.0,LUKS,write,1
524288,1024,184704.0,LUKS,write,1
